run_id,model,family,params_b,setting,task,prompt_tier,metric_name,metric_value,n_examples,seed
20260701_052432_falcon_h1_05b_E4-Q4_squad_v2_dev,falcon_h1_05b,Falcon-H1,0.5,E4-Q4,squad_v2,P0,em,33.8424,200,42
20260701_213857_falcon_h1_05b_E4-Q4_squad_v2_dev_P1,falcon_h1_05b,Falcon-H1,0.5,E4-Q4,squad_v2,P1,em,24.7815,200,42
20260701_222820_falcon_h1_05b_E4-Q4_squad_v2_dev_P2,falcon_h1_05b,Falcon-H1,0.5,E4-Q4,squad_v2,P2,em,3.2432,200,42
20260702_060523_falcon_h1_05b_E4-Q4_squad_v2_dev_P3,falcon_h1_05b,Falcon-H1,0.5,E4-Q4,squad_v2,P3,em,1.7228,200,42
20260701_052436_falcon_h1_05b_E4-Q4_truthfulqa_mc1_dev,falcon_h1_05b,Falcon-H1,0.5,E4-Q4,truthfulqa_mc1,P0,acc,40.5,200,42
20260701_213857_falcon_h1_05b_E4-Q4_truthfulqa_mc1_dev_P1,falcon_h1_05b,Falcon-H1,0.5,E4-Q4,truthfulqa_mc1,P1,acc,22.0,200,42
20260701_223116_falcon_h1_05b_E4-Q4_truthfulqa_mc1_dev_P2,falcon_h1_05b,Falcon-H1,0.5,E4-Q4,truthfulqa_mc1,P2,acc,41.5,200,42
20260702_060816_falcon_h1_05b_E4-Q4_truthfulqa_mc1_dev_P3,falcon_h1_05b,Falcon-H1,0.5,E4-Q4,truthfulqa_mc1,P3,acc,21.5,200,42
20260630_230338_falcon_h1_15b_E0-REF_halueval_general_dev,falcon_h1_15b,Falcon-H1,1.5,E0-REF,halueval_general,P0,acc,50.5,200,42
20260630_230326_falcon_h1_15b_E0-REF_halueval_qa_dev,falcon_h1_15b,Falcon-H1,1.5,E0-REF,halueval_qa,P0,acc,44.0,200,42
20260630_230001_falcon_h1_15b_E0-REF_nq_open_dev,falcon_h1_15b,Falcon-H1,1.5,E0-REF,nq_open,P0,em,7.3566,200,42
