task,run_id,model_key,setting,prompt_tier,dataset,split,num_examples,primary_metric_name,primary_metric,exact_match,f1,prompt_acc,instr_acc,mtbench_score,instruction_level_acc,has_ans_exact_match,has_ans_f1,no_ans_exact_match,no_ans_f1,valid_scores,empty_responses,latency_ms_mean,decode_chars_per_s_mean,judge_model
task_eval,20260630_221314_smollm2_360m_E2-Q8_squad_v2_dev,smollm2_360m,E2-Q8,P0,squad_v2,dev,200,f1,0.08331645698984409,0.05,0.08331645698984409,,,,,0.0297029702970297,0.09072565740563186,0.0707070707070707,0.07575757575757576,,,7880.0777430750895,5.783557167737119,
task_eval,20260630_221314_smollm2_360m_E2-Q8_truthfulqa_mc1_dev,smollm2_360m,E2-Q8,P0,truthfulqa_mc1,dev,200,f1,0.205,0.205,0.205,,,,,,,,,,,3218.3213318907656,5.8541465946085305,
task_eval,20260630_221651_smollm2_360m_E3-Q5_squad_v2_dev,smollm2_360m,E3-Q5,P0,squad_v2,dev,200,f1,0.10403209556792548,0.07,0.10403209556792548,,,,,0.039603960396039604,0.10699424864935739,0.10101010101010101,0.10101010101010101,,,11160.286533570616,5.2897203415677065,
task_eval,20260630_221652_smollm2_360m_E3-Q5_nq_open_dev,smollm2_360m,E3-Q5,P0,nq_open,dev,200,f1,0.031289331896858695,0.0,0.031289331896858695,,,,,,,,,,,16468.932818253525,8.975735217594746,
task_eval,20260630_221652_smollm2_360m_E3-Q5_truthfulqa_mc1_dev,smollm2_360m,E3-Q5,P0,truthfulqa_mc1,dev,200,f1,0.2,0.2,0.2,,,,,,,,,,,3637.7632420300506,4.7430704334970155,
task_eval,20260630_221653_smollm2_360m_E4-Q4_nq_open_dev,smollm2_360m,E4-Q4,P0,nq_open,dev,200,f1,0.032107475797339496,0.0,0.032107475797339496,,,,,,,,,,,16088.369020362152,9.189954964867308,
task_eval,20260630_221653_smollm2_360m_E4-Q4_squad_v2_dev,smollm2_360m,E4-Q4,P0,squad_v2,dev,200,f1,0.06496208928466993,0.04,0.06496208928466993,,,,,0.039603960396039604,0.08903384016766323,0.04040404040404041,0.04040404040404041,,,8890.205506198108,5.284856348502498,
task_eval,20260630_221654_qwen25_05b_E3-Q5_nq_open_dev,qwen25_05b,E3-Q5,P0,nq_open,dev,200,f1,0.025530624009860656,0.0,0.025530624009860656,,,,,,,,,,,35833.79157078336,11.674357664114817,
task_eval,20260630_221654_qwen25_05b_E4-Q4_squad_v2_dev,qwen25_05b,E4-Q4,P0,squad_v2,dev,200,f1,0.34410783958804486,0.305,0.34410783958804486,,,,,0.19801980198019803,0.2549634393485223,0.41414141414141414,0.4350531368021032,,,30842.721914801514,12.362410471640732,
task_eval,20260630_221654_smollm2_360m_E4-Q4_truthfulqa_mc1_dev,smollm2_360m,E4-Q4,P0,truthfulqa_mc1,dev,200,f1,0.2,0.2,0.2,,,,,,,,,,,3344.6675953944214,5.611150572127754,
